Player #,Games,Points,Goals,Assist,Shots,Shooting %,Shots on Goal,Shots on Goal %,FP Goals,FP Shots,Ground Balls,Draw Controls,Turnovers,Caused Turnovers,Fouls
2,14,52,43,9,99,43.3,79,79.8,19,38,39,71,55,17,19
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0,9,0,3,6,17
7,14,9,7,2,19,36.8,13,68.4,4,2,25,19,34,4,7
8,13,0,0,0,1,0,0,0,0,1,4,1,8,2,11
10,14,0,0,0,0,0,0,0,0,0,4,0,7,2,3
11,6,1,0,1,0,0,0,0,0,0,1,0,3,0,0
13,14,64,53,11,118,44.9,91,77.1,21,35,34,76,42,20,14
14,14,4,3,1,10,30,8,80,0,2,7,0,4,2,2
16,14,9,7,2,23,30.4,13,56.5,1,4,22,0,32,11,6
19,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0
20,14,2,1,1,8,12.5,3,37.5,0,4,10,0,17,4,7
21,14,13,10,3,34,29.4,18,52.9,1,7,19,2,31,5,6
23,13,0,0,0,4,0,4,100,0,1,8,0,16,12,16
